timestamp,open,high,low,close,volume
2022-02-18,89200,92500,88700,91400,2232912
2022-02-21,90100,94500,89900,93200,2855108
2022-02-22,91700,93200,91200,91800,1904605
2022-02-23,92500,93800,91900,92600,1738804
2022-02-24,91100,91800,89300,90000,2176721
2022-02-25,92100,95000,91800,94400,3690345
2022-02-28,94100,94900,93100,94100,2175339
2022-03-02,94400,95700,93900,95300,2173330
2022-03-03,96100,97300,95300,96600,1738057
2022-03-04,96200,96300,94500,94700,1539472
2022-03-07,93400,93500,91600,91600,1950179
2022-03-08,90000,94000,89600,92100,1774311
2022-03-10,94400,100000,94300,100000,5742398
2022-03-11,100000,102000,98400,101500,3160552
2022-03-14,102500,105000,102000,103500,3656814
2022-03-15,103500,104500,101000,103000,1778162
2022-03-16,105000,105500,102000,104000,1763654
2022-03-17,106000,109000,105500,106500,3504355
2022-03-18,107500,109000,106000,108500,2993197
2022-03-21,108500,110000,104000,105000,3284518
2022-03-22,104500,108000,104500,106500,2052237
2022-03-23,107500,108500,104500,106500,2310401
2022-03-24,105000,105500,103000,105000,2071398
2022-03-25,106000,107000,104000,105000,1944089
2022-03-28,105000,105500,102500,105000,1534357
2022-03-29,106000,106500,104500,105500,1318977
2022-03-30,107000,108000,106000,106500,1115413
2022-03-31,106000,107500,105500,106500,1065806
2022-04-01,105500,106500,105000,106000,1163804
2022-04-04,105500,106000,104000,105500,1276251
2022-04-05,106500,108000,106000,107500,1617662
2022-04-06,105500,106500,104000,105000,1529617
2022-04-07,103000,103500,99900,99900,2885845
2022-04-08,100000,100500,96500,98000,2929790
2022-04-11,97100,97100,94600,95100,2061220
2022-04-12,93400,95100,92100,94100,1909946
2022-04-13,95000,96200,94600,95800,1403239
2022-04-14,96400,96500,94500,96100,1299995
2022-04-15,95000,96700,93700,95400,1080260
2022-04-18,94500,94900,94000,94400,774064
2022-04-19,95000,96500,94900,95100,836819
2022-04-20,96100,96200,94600,95100,880905
2022-04-21,95100,95100,93100,93600,1809576
2022-04-22,92200,92400,91400,92000,1553904
2022-04-25,90400,91600,89600,89700,1511408
2022-04-26,89800,91700,89700,90200,1368258
2022-04-27,87600,88900,87600,88400,1390581
2022-04-28,89700,89800,88100,89300,1216554
2022-04-29,89300,90400,88700,89900,1110597
2022-05-02,88400,88900,87000,87300,1726505
2022-05-03,87300,89200,87000,88500,1435047
2022-05-04,88600,91900,88300,89000,1865993
2022-05-06,86500,86600,84100,84300,3592237
2022-05-09,84000,85000,82800,84100,1533542
2022-05-10,82000,84300,81900,83600,2390050
2022-05-11,83800,85400,83300,85400,1367542
2022-05-12,83700,84000,80600,80700,2971934
2022-05-13,80700,81900,80300,81800,1528530
2022-05-16,83300,84300,82100,82300,1598561
2022-05-17,82300,83400,82100,83200,1218935
2022-05-18,83700,84000,82500,82600,1208755
2022-05-19,80500,81000,80000,80400,1519533
2022-05-20,80800,83300,80400,83000,1561541
2022-05-23,82700,83500,82400,82900,933750
2022-05-24,82500,82600,80600,80600,1154150
2022-05-25,81000,82000,80300,81800,1365261
2022-05-26,81900,83300,81000,81500,1338305
2022-05-27,82400,83000,81500,81700,1038755
2022-05-30,82800,84000,82600,83900,2091429
2022-05-31,84100,85000,82900,85000,2170810
2022-06-02,84000,84200,82900,83700,1147185
2022-06-03,84800,87400,84700,85700,2371620
2022-06-07,84500,84800,81600,81900,2373935
2022-06-08,82700,82800,81200,81500,1317967
2022-06-09,81100,81800,80300,81300,1732196
2022-06-10,80400,81000,80000,80100,1430382
2022-06-13,77800,78200,76100,76500,2176053
2022-06-14,74900,76900,74200,76600,2342617
2022-06-15,76100,76500,72100,72700,2844798
2022-06-16,74400,75200,71900,72300,2053257
2022-06-17,70200,73000,70200,72200,3044377
2022-06-20,72300,72900,68700,69600,2436471
2022-06-21,69600,70700,69200,70500,1525415
2022-06-22,70900,71000,68500,68500,1908000
2022-06-23,68300,69300,66700,67100,2005224
2022-06-24,67400,71500,67400,71500,2331632
2022-06-27,72400,72900,70600,71800,1470633
2022-06-28,71600,72300,70600,71600,1082711
2022-06-29,70100,71300,69700,70800,1185471
2022-06-30,70400,71100,69900,69900,1339031
2022-07-01,70000,70300,66600,67300,1817276
2022-07-04,67300,69000,66200,68100,1019171
2022-07-05,68700,72500,68300,72000,2125688
2022-07-06,71300,75000,71200,73500,2724220
2022-07-07,74500,74900,72700,73000,1603464
2022-07-08,73900,73900,71800,71800,1418763
2022-07-11,71900,72800,71100,71300,979002
2022-07-12,70700,71000,69400,70300,1082539
2022-07-13,70100,72200,70100,71900,1156844
2022-07-14,71000,73400,70400,72100,1597400
2022-07-15,72100,72200,69400,70100,1605289
2022-07-18,71100,73200,70600,72800,1690739
2022-07-19,72000,73200,71600,72800,949001
2022-07-20,74700,75600,73100,73400,1758524
2022-07-21,73900,75000,73500,73700,1244024
2022-07-22,73500,73600,71600,72100,1601677
2022-07-25,71600,73100,71400,73000,1038303
2022-07-26,72600,72900,71800,72400,696076
2022-07-27,72500,72600,71200,71900,924477
2022-07-28,73000,74200,72100,72400,1226484
2022-07-29,73200,75400,73200,74800,2164565
2022-08-01,74800,75200,74000,74000,907903
2022-08-02,73800,73800,71600,71800,1786920
2022-08-03,71900,76100,71500,76000,2893725
2022-08-04,77000,81700,76800,81700,5803458
2022-08-05,82000,83100,80700,81200,2511627
2022-08-08,80600,82000,80100,82000,1674063
2022-08-09,81800,83800,81500,83200,1541966
2022-08-10,82300,82800,80300,80300,1428961
2022-08-11,82600,84300,82400,83700,1918391
2022-08-12,83000,83200,81700,82500,1069578
2022-08-16,83000,83200,80500,80700,1798225
2022-08-17,80800,81200,79600,80100,1041971
2022-08-18,79400,79600,77500,79200,1640906
2022-08-19,78300,78800,76400,76700,1804047
2022-08-22,75600,76300,74600,75000,1250643
2022-08-23,74800,75800,74200,74800,1327312
2022-08-24,74900,75500,74200,74900,936191
2022-08-25,75400,76800,75000,76100,1252757
2022-08-26,76700,77200,75900,76200,593524
